latitude,longitude,geometry,OBJECTID_1,OBJECTID,NAMA,JENIS,KELURAHAN,KECAMATAN,KOTA_ADMIN
-6.239759068,106.7729656,Point,2982,9229,SMP HANG TUAH 2,SEKOLAH / BANGUNAN PENDIDIKAN,CIPULIR,KEBAYORAN LAMA,JAKARTA SELATAN
-6.238736197,106.7760448,Point,2983,9230,"SD NEGERI CIPULIR 09 PAGI,10 PETANG",SEKOLAH / BANGUNAN PENDIDIKAN,CIPULIR,KEBAYORAN LAMA,JAKARTA SELATAN
-6.23833434,106.7727701,Point,2984,9232,AKADEMIK KEPERAWATAN BERKALA WIDYA HUSADA,SEKOLAH / BANGUNAN PENDIDIKAN,CIPULIR,KEBAYORAN LAMA,JAKARTA SELATAN
-6.236639651,106.7743456,Point,2985,9234,TK AL ISHLAH,SEKOLAH / BANGUNAN PENDIDIKAN,CIPULIR,KEBAYORAN LAMA,JAKARTA SELATAN
-6.233467787,106.7714667,Point,2986,9238,PASAR CIDODOL,SEKOLAH / BANGUNAN PENDIDIKAN,CIPULIR,KEBAYORAN LAMA,JAKARTA SELATAN
-6.23280808,106.7715305,Point,2987,9240,SMP NEGERI 153 JAKARTA,SEKOLAH / BANGUNAN PENDIDIKAN,GROGOL SELATAN,KEBAYORAN LAMA,JAKARTA SELATAN
-6.232133558,106.774334,Point,2988,9242,SMA NEGERI 32 JAKARTA,SEKOLAH / BANGUNAN PENDIDIKAN,GROGOL SELATAN,KEBAYORAN LAMA,JAKARTA SELATAN
-6.236110883,106.778078,Point,2989,9244,TK ISLAM HIDAYATULLAH,SEKOLAH / BANGUNAN PENDIDIKAN,CIPULIR,KEBAYORAN LAMA,JAKARTA SELATAN
-6.245831614,106.7807603,Point,2990,9246,TK PELITA,SEKOLAH / BANGUNAN PENDIDIKAN,KEBAYORAN LAMA UTARA,KEBAYORAN LAMA,JAKARTA SELATAN
-6.237403507,106.7843136,Point,2991,9248,SMA NEGERI 29 JAKARTA,SEKOLAH / BANGUNAN PENDIDIKAN,KEBAYORAN LAMA UTARA,KEBAYORAN LAMA,JAKARTA SELATAN
-6.237938231,106.7841726,Point,2992,9249,TK KEMALA BHAYANGKARI 10,SEKOLAH / BANGUNAN PENDIDIKAN,KEBAYORAN LAMA UTARA,KEBAYORAN LAMA,JAKARTA SELATAN
-6.239546204,106.7763891,Point,2993,9252,SD NEGERI CIPULIR 11 PAGI,SEKOLAH / BANGUNAN PENDIDIKAN,CIPULIR,KEBAYORAN LAMA,JAKARTA SELATAN
-6.243883849,106.7800011,Point,2994,9254,TK AISYIYAH BA 11,SEKOLAH / BANGUNAN PENDIDIKAN,KEBAYORAN LAMA UTARA,KEBAYORAN LAMA,JAKARTA SELATAN
-6.261432598,106.7574624,Point,2995,9255,SMP NEGERI 177 JAKARTA,SEKOLAH / BANGUNAN PENDIDIKAN,PASANGGRAHAN,PASANGGRAHAN,JAKARTA SELATAN
-6.261342009,106.758402,Point,2996,9256,SD NEGERI PASANGGRAHAN 02 DAN 03 PAGI,SEKOLAH / BANGUNAN PENDIDIKAN,PASANGGRAHAN,PASANGGRAHAN,JAKARTA SELATAN
-6.260238232,106.7587808,Point,2997,9257,SMA KARTIKA X-1,SEKOLAH / BANGUNAN PENDIDIKAN,PASANGGRAHAN,PASANGGRAHAN,JAKARTA SELATAN
-6.251457059,106.7540377,Point,2998,9262,TK BHAKTI UTAMA STRADA,SEKOLAH / BANGUNAN PENDIDIKAN,PASANGGRAHAN,PASANGGRAHAN,JAKARTA SELATAN
-6.252448593,106.7621333,Point,2999,9263,SMA NEGERI 108 JAKARTA,SEKOLAH / BANGUNAN PENDIDIKAN,PASANGGRAHAN,PASANGGRAHAN,JAKARTA SELATAN
-6.253743933,106.7576463,Point,3000,9265,SMP NEGERI 235 JAKARTA,SEKOLAH / BANGUNAN PENDIDIKAN,PASANGGRAHAN,PASANGGRAHAN,JAKARTA SELATAN
-6.262324965,106.7613087,Point,3001,9272,SMA NEGERI 86 JAKARTA,SEKOLAH / BANGUNAN PENDIDIKAN,BINTARO,PASANGGARAHN,JAKARTA SELATAN
-6.270050096,106.7575036,Point,3002,9274,SDN NEGERI 4 BINTARO,SEKOLAH / BANGUNAN PENDIDIKAN,BINTARO,PASANGGRAHAN,JAKARTA SELATAN
-6.259463313,106.7559546,Point,3003,9275,SD KARTIKA X-4,SEKOLAH / BANGUNAN PENDIDIKAN,PASANGGRAHAN,PASANGGRAHAN,JAKARTA SELATAN
-6.26903902,106.7581345,Point,3004,9277,TK BINTANG MULIA,SEKOLAH / BANGUNAN PENDIDIKAN,BINTARO,PASANGGRAHAN,JAKARTA SELATAN
-6.267049248,106.7538722,Point,3005,9278,KB - TK HAPPY HOLY KIDS,SEKOLAH / BANGUNAN PENDIDIKAN,PASANGGRAHAN,PASANGGRAHAN,JAKARTA SELATAN
